item_id,current_price,history
19710:0,31800,"1751493600"
3818:0,6174,"1751752800"
7972:0,378,"1751752800"
19767:0,6897.5,"1751320800"
2592:0,0,"1751752800"
22529:0,967,"1751752800"
7082:0,56946,"1751752800"
7909:0,1999,"1751752800"
14243:862,11000,"1749852000"
19701:0,6497,"1751407200"
8169:0,477.66666666667,"1751752800"
1210:0,1378,"1751752800"
8749:0,6896,"1751839200"
22525:0,0,"1751839200"
19700:0,6700,"1751493600"
9264:0,14748,"1749506400"
14047:0,849.95,"1751839200"
10197:784,0,""
1081:0,0,"1751752800"
18945:0,0,"1751752800"
18661:0,0,"1751752800"
8167:0,1400,"1751752800"
8831:0,0,"1751752800"
16673:0,42499,"1751752800"
11977:1370,0,"1750111200"
22526:0,0,"1751839200"
4096:0,0,"1751752800"
19705:0,6392,"1751407200"
7005:0,0,"1751839200"
11184:0,3498,"1750197600"
55251:0,1330,"1751752800"
4338:0,426.66666666667,"1751752800"
4232:0,248,"1751752800"
22393:0,0,"1751752800"
14344:0,43999,"1751666400"
19698:0,4899,"1751493600"
7079:0,11999,"1751752800"
8839:0,1596,"1751752800"
4306:0,218.6,"1751752800"
14046:0,0,"1751752800"
14256:0,76998,"1751752800"
13931:0,9999.7647058824,"1751839200"
5266:0,47392,"1750802400"
7068:0,8973,"1751752800"
3712:0,199.9,"1751752800"
24102:0,119297,"1751752800"
10286:0,0,"1751752800"
4234:0,219.88888888889,"1751752800"
70127:0,1801,"1751752800"
83502:0,0,"1750716000"
19817:0,0,""
8836:0,0,"1751752800"
70221:0,0,"1751752800"
14960:1207,20000,""
13071:0,216090,"1749765600"
15414:0,19899.428571429,"1751752800"
1206:0,950,"1751752800"
7070:0,9494,"1751752800"
14313:1032,19899,"1751752800"
20520:0,49993.5,"1751752800"
9259:0,5580,"1750197600"
2453:0,0,"1751752800"
10606:0,0,"1751752800"
8396:0,3979.3333333333,"1751148000"
8165:0,0,"1751752800"
8170:0,797.16666666667,"1751839200"
7974:0,0,"1751752800"
20381:0,28698.928571429,"1751839200"
6048:0,12998.333333333,"1749506400"
14847:0,11987,"1749765600"
7075:0,53298,"1751752800"
5530:0,0,"1751752800"
19227:0,2404098,"1751061600"
14293:1054,0,"1751752800"
16048:0,48896,"1751752800"
7080:0,0,"1751752800"
13084:0,150000,"1750197600"
15774:0,0,"1750284000"
4461:0,153,"1751752800"
8274:0,0,"1750284000"
7912:0,749.9,"1751752800"
14912:1198,0,""
8391:0,4993,"1751407200"
11185:0,2499,"1751752800"
4638:0,0,""
17413:0,0,"1751666400"
6470:0,0,"1751752800"
8150:0,0,"1751752800"
16735:0,42748,"1751752800"
4337:0,0,"1751752800"
19259:0,0,"1750111200"
15280:765,0,""
12607:0,8400,"1751752800"
12811:0,63331.5,"1751666400"
17030:0,0,"1751839200"
19713:0,31986,"1751493600"
19703:0,7097,"1751234400"
11139:0,3994,"1751666400"
6522:0,0,"1751752800"
6471:0,3999.5,"1751752800"
17012:0,0,"1751752800"
4500:0,44799,"1751839200"
6052:0,2149.9,"1751839200"
70226:0,0,"1751407200"
5500:0,0,"1751752800"
13492:0,60000,"1751061600"
4231:0,130,"1751752800"
17057:0,0,"1751839200"
14767:0,0,"1748988000"
15408:0,0,"1751752800"
23247:0,0,""
16683:0,40000,"1750284000"
10285:0,0,"1751752800"
16044:0,0,"1751148000"
8368:0,0,"1751752800"
11188:0,550,"1751752800"
12654:0,149.99,"1751752800"
15416:0,4746,"1751839200"
19699:0,6267,"1751493600"
16245:0,5799,"1751752800"
19702:0,6799,"1751407200"
2319:0,83,"1751752800"
16654:0,90,"1751752800"
12808:0,0,"1751839200"
8394:0,5246,"1751752800"
14494:0,0,"1751752800"
5140:0,0,"1751752800"
61198:0,0,"1751752800"
11186:0,1848,"1751752800"
7067:0,22794.4,"1751752800"
7081:0,403,"1751752800"
16671:0,39999,"1751752800"
8171:0,5998,"1751839200"
3357:0,0,"1751752800"
20424:0,4947,"1751407200"
8392:0,1048,"1751752800"
61673:0,51897,"1751752800"
7971:0,1186,"1751752800"
22891:0,0,"1751752800"
18653:0,0,"1751752800"
10308:0,0,"1751752800"
16723:0,44499,"1751148000"
13933:0,1449.9,"1751752800"
15281:936,0,""
20007:0,0,"1751839200"
18744:0,43489,"1751839200"
7069:0,1858,"1751752800"
19276:0,699996,"1751839200"
17010:0,0,"1751320800"
7676:0,0,"1740697200"
774:0,193,"1751752800"
15345:247,6000,""
14227:0,9746,"1751752800"
818:0,140,"1751752800"
8146:0,499,"1751752800"
14670:0,0,"1750802400"
20865:0,5540,"1751493600"
15666:873,0,""
15415:0,2099.625,"1751752800"
17056:0,273,"1751752800"
51707:0,299.90909090909,"1751752800"
19183:0,12194,"1751752800"
7910:0,8334,"1751752800"
10625:0,59996,"1750111200"
15412:0,0,"1751839200"
10593:0,7498,"1751752800"
10646:0,0,"1751839200"
81094:0,99,"1751752800"
8845:0,2898,"1751752800"
19268:0,79998,"1750284000"
2318:0,30,"1751752800"
11997:1108,10000,"1749765600"
15524:1198,9997,"1749074400"
10558:0,0,"1751752800"
4304:0,571,"1751752800"
19712:0,31494,"1751493600"
8766:0,0,"1751752800"
2799:0,0,"1751752800"
22528:0,0,"1751752800"
4235:0,1449.75,"1751752800"
61175:0,9999.8571428571,"1751752800"
70148:0,0,"1751752800"
5759:0,0,""
8393:0,6923.7222222222,"1751407200"
16696:0,42898,"1751320800"
10306:0,0,"1751752800"
12803:0,0,"1751752800"
11018:0,948.91139240506,"1751752800"
18654:0,0,"1750111200"
